order_id,placed_at,zone,platform,status,total_amount,prep_time_seconds,delivery_time_seconds,cancellation_reason,weather_flag
483573,2026-06-16T06:12:25,Zone 1,swiggy,delivered,514,758,1999,,false
483554,2026-06-16T07:21:49,Zone 2,swiggy,cancelled,482,716,,customer_cancelled_predispatch,false
483600,2026-06-16T09:48:15,Zone 1,zomato,delivered,172,1194,2382,,false
483607,2026-06-16T10:27:14,Zone 3,zomato,delivered,311,1130,1873,,false
483483,2026-06-16T10:56:34,Zone 3,swiggy,delivered,237,394,1548,,false
483590,2026-06-16T11:36:19,Zone 2,swiggy,delivered,234,889,1864,,false
483564,2026-06-16T11:59:15,Zone 3,zomato,delivered,478,1181,2436,,false
483498,2026-06-16T12:15:56,Zone 3,swiggy,delivered,321,1156,1896,,false
483621,2026-06-16T12:21:20,Zone 1,swiggy,delivered,275,649,1531,,false
483534,2026-06-16T12:38:02,Zone 1,zomato,delivered,361,693,1563,,false
483576,2026-06-16T13:01:07,Zone 1,zomato,delivered,225,880,1750,,false
483470,2026-06-16T13:05:54,Zone 3,swiggy,delivered,306,620,1739,,false
483540,2026-06-16T13:08:42,Zone 1,swiggy,cancelled,308,1417,,customer_cancelled_predispatch,false
483465,2026-06-16T13:13:48,Zone 1,swiggy,cancelled,265,718,1518,item_unavailable,false
483586,2026-06-16T13:19:42,Zone 2,zomato,delivered,355,1101,2275,,false
483476,2026-06-16T13:41:31,Zone 3,zomato,delivered,170,1177,2350,,false
483541,2026-06-16T13:59:22,Zone 3,swiggy,delivered,177,1137,2478,,false
483520,2026-06-16T14:30:13,Zone 3,swiggy,delivered,832,693,1854,,false
483633,2026-06-16T14:42:43,Zone 3,zomato,delivered,802,917,1981,,false
483641,2026-06-16T14:48:53,Zone 1,swiggy,delivered,99,1335,2440,,false
483505,2026-06-16T14:57:33,Zone 1,swiggy,delivered,256,644,1344,,false
483629,2026-06-16T14:57:53,Zone 2,zomato,delivered,545,876,1866,,false
483616,2026-06-16T15:10:47,Zone 2,zomato,delivered,519,594,1743,,false
483594,2026-06-16T15:13:32,Zone 3,zomato,delivered,478,631,1714,,false
483479,2026-06-16T15:37:25,Zone 1,zomato,delivered,332,437,1526,,false
483605,2026-06-16T15:56:40,Zone 1,zomato,cancelled,325,936,2252,restaurant_closed_early,false
483625,2026-06-16T16:03:13,Zone 2,zomato,delivered,683,782,1641,,false
483612,2026-06-16T16:33:35,Zone 1,zomato,delivered,301,1119,2404,,false
483501,2026-06-16T16:35:10,Zone 2,zomato,delivered,496,974,2094,,false
483510,2026-06-16T18:30:15,Zone 3,swiggy,delivered,144,804,1964,,false
483472,2026-06-16T18:43:20,Zone 1,swiggy,delivered,246,616,1879,,false
483493,2026-06-16T18:49:59,Zone 3,zomato,delivered,322,751,1966,,false
483651,2026-06-16T18:58:24,Zone 3,swiggy,delivered,376,645,1506,,false
483546,2026-06-16T19:00:42,Zone 1,zomato,delivered,155,1009,2082,,false
483637,2026-06-16T19:05:41,Zone 1,swiggy,delivered,111,677,1860,,false
483506,2026-06-16T19:14:04,Zone 3,swiggy,delivered,214,680,1985,,false
483580,2026-06-16T19:32:07,Zone 3,swiggy,delivered,106,976,2107,,false
483511,2026-06-16T19:41:06,Zone 2,swiggy,delivered,192,881,1706,,false
483656,2026-06-16T19:51:07,Zone 3,swiggy,delivered,295,963,2208,,false
483647,2026-06-16T20:10:38,Zone 3,zomato,delivered,519,797,2097,,false
483552,2026-06-16T20:13:43,Zone 3,swiggy,delivered,219,537,1768,,false
483480,2026-06-16T20:27:38,Zone 2,zomato,delivered,313,1039,2165,,false
483642,2026-06-16T20:41:02,Zone 3,swiggy,delivered,161,1049,2189,,false
