order_id,placed_at,zone,platform,status,total_amount,prep_time_seconds,delivery_time_seconds,cancellation_reason,weather_flag
4021,2025-09-04T21:42:00,Zone 3,swiggy,cancelled,560,960,2680,weather_delay,true
4198,2025-09-04T20:15:00,Zone 3,zomato,cancelled,410,840,2600,weather_delay,true
4203,2025-09-04T19:50:00,Zone 3,swiggy,cancelled,720,1020,2820,courier_no_show,false
4212,2025-09-04T18:30:00,Zone 3,zomato,cancelled,340,1560,2520,restaurant_closed_early,false
4177,2025-09-04T13:05:00,Zone 3,swiggy,cancelled,290,600,,customer_cancelled_predispatch,false
4190,2025-09-04T12:40:00,Zone 3,zomato,cancelled,510,540,,customer_cancelled_predispatch,false
4022,2025-09-04T11:10:00,Zone 1,swiggy,delivered,380,720,1840,,false
4023,2025-09-04T10:55:00,Zone 3,zomato,delivered,290,690,1920,,false
4024,2025-09-04T09:40:00,Zone 2,swiggy,delivered,450,780,1560,,false
4025,2025-09-04T08:20:00,Zone 3,swiggy,cancelled,300,,,customer_cancelled_predispatch,false
